,Cumulative number of tests,Number of patients being treated,Number of releases from quarantine,Number of deaths,Number of confirmed cases,Number of tests in progress,Number of people who are negative,Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),Confirmed individuals (matant virus),
,Total (E),Quarantined (Q),Recovered (R),Cumulative death (D),Cumulative number of confirmed cases (I),test,Negative,Cumulative count (tests),Daily (tests),Analysis rate,Detection rate,Daily,
date,accExamCnt,careCnt,clearCnt,deathCnt,decideCnt,examCnt,resutlNegCnt,mutant,mutant_d,PA,PF,mutant,
2021.11.5,9733591,7741,343236,1951,375462,123790,9470370,49096,458,16.7,99.9,2341,2740
2021.11.6,9733591,7741,345564,1951,377708,123790,9470370,49554,458,16.7,99.9,2244,2740
2021.11.7,9733591,7741,346800,1951,379933,123790,9470370,50012,458,16.7,99.9,2223,2740
2021.11.8,9733591,7741,347796,1951,381687,123790,9470370,50470,457,19.3,99.9,1752,2366
2021.11.9,9733591,7741,350657,1951,383404,123790,9470370,50927,458,19.3,99.9,1715,2371
2021.11.10,9733591,7741,352940,1951,385829,123790,9470370,51385,458,19.3,99.9,2423,2371
2021.11.11,9733591,7741,355014,1951,388347,123790,9470370,51843,458,19.3,99.9,2515,2371
2021.11.12,9733591,7741,356615,1951,390715,123790,9470370,52301,458,19.3,100,2368,2373
2021.11.13,9733591,7741,359553,1951,393039,123790,9470370,52759,458,19.3,100,2324,2373
2021.11.14,9733591,7741,360891,1951,395457,123790,9470370,53217,458,19.3,100,2418,2373
2021.11.15,9733591,7741,362834,1951,397461,123790,9470370,53675,458,19.3,100,2004,2373
2021.11.16,9733591,7741,364499,1951,399583,123790,9470370,54133,458,12.8,100,2122,3578
2021.11.17,9733591,7741,366089,1951,402772,123790,9470370,54591,458,12.8,100,3189,3578
2021.11.18,9733591,7741,367578,1951,406064,123790,9470370,55049,457,12.8,100,3292,3570
2021.11.19,9733591,7741,368723,1951,409098,123790,9470370,55506,458,12.8,100,3034,3578
2021.11.20,9733591,7741,374383,1951,412304,123790,9470370,55964,458,12.8,100,3206,3578
2021.11.21,9733591,7741,375755,1951,415424,123790,9470370,56422,458,12.8,100,3120,3578
2021.11.22,9733591,7741,376706,1951,418251,123790,9470370,56880,458,12.8,100,2827,3578
2021.11.23,9733591,7741,378561,1951,420950,123790,9470370,57338,458,12.8,100,2699,3578
2021.11.24,9733591,7741,378561,1951,425059,123790,9470370,57338,458,12.8,100,4109,3578
2021.11.25,9733591,7741,378561,1951,428996,123790,9470370,57338,458,12.8,100,3937,3578
2021.11.26,9733591,7741,378561,1951,432892,123790,9470370,57338,458,12.8,100,3896,3578
2021.11.27,9733591,7741,378561,1951,436959,123790,9470370,57338,458,12.8,100,4067,3578
2021.11.28,9733591,7741,378561,1951,440884,123790,9470370,57338,458,12.8,100,3925,3578
2021.11.29,9733591,7741,378561,1951,444191,123790,9470370,57338,458,12.8,100,3307,3578
2021.11.30,9733591,7741,378561,1951,447222,123790,9470370,57338,458,12.8,100,3031,3578
2021.12.1,9733591,7741,378561,1951,452344,123790,9470370,57338,458,12.8,100,5122,3578
2021.12.2,9733591,7741,378561,1951,457607,123790,9470370,57338,458,12.8,100,5263,3578
2021.12.3,9733591,7741,378561,1951,462551,123790,9470370,57338,458,12.8,100,4944,3578
2021.12.4,9733591,7741,378561,1951,467903,123790,9470370,57338,458,12.8,100,5352,3578
2021.12.5,9733591,7741,378561,1951,473028,123790,9470370,57338,458,12.8,100,5125,3578
2021.12.6,9733591,7741,378561,1951,477352,123790,9470370,57338,458,12.8,100,4324,3578
2021.12.7,9733591,7741,378561,1951,482305,123790,9470370,57338,458,12.8,100,4953,3578
2021.12.8,9733591,7741,378561,1951,489478,123790,9470370,57338,458,12.8,100,7173,3578
2021.12.9,9733591,7741,378561,1951,496853,123790,9470370,57338,458,12.8,100,7375,3578
2021.12.10,9733591,7741,378561,1951,503601,123790,9470370,57338,458,12.8,100,6748,3578
2021.12.11,9733591,7741,378561,1951,510430,123790,9470370,57338,458,12.8,100,6829,3578
2021.12.12,9733591,7741,378561,1951,517259,123790,9470370,57338,458,12.8,100,6829,3578
2021.12.13,9733591,7741,378561,1951,523076,123790,9470370,57338,458,12.8,100,5817,3578
2021.12.14,9733591,7741,378561,1951,528643,123790,9470370,57338,458,12.8,100,5567,3578
2021.12.15,9733591,7741,378561,1951,536493,123790,9470370,57338,458,12.8,100,7850,3578
2021.12.16,9733591,7741,378561,1951,544114,123790,9470370,57338,458,12.8,100,7621,3578
2021.12.17,9733591,7741,378561,1951,551548,123790,9470370,57338,458,12.8,100,7434,3578
2021.12.18,9733591,7741,378561,1951,558860,123790,9470370,57338,458,12.8,100,7312,3578
2021.12.19,9733591,7741,378561,1951,565095,123790,9470370,57338,458,12.8,100,6235,3578
2021.12.20,9733591,7741,378561,1951,570413,123790,9470370,57338,458,12.8,100,5318,3578
2021.12.21,9733591,7741,378561,1951,575615,123790,9470370,57338,458,12.8,100,5202,3578
2021.12.22,9733591,7741,378561,1951,583047,123790,9470370,57338,458,12.8,100,7432,3578
2021.12.23,9733591,7741,378561,1951,589961,123790,9470370,57338,458,12.8,100,6914,3578
2021.12.24,9733591,7741,378561,1951,596194,123790,9470370,57338,458,12.8,100,6233,3578
2021.12.25,9733591,7741,378561,1951,602034,123790,9470370,57338,458,12.8,100,5840,3578
2021.12.26,9733591,7741,378561,1951,607447,123790,9470370,57338,458,12.8,100,5413,3578
2021.12.27,9733591,7741,378561,1951,611650,123790,9470370,57338,458,12.8,100,4203,3578
2021.12.28,9733591,7741,378561,1951,615514,123790,9470370,57338,458,12.8,100,3864,3578
2021.12.29,9733591,7741,378561,1951,620921,123790,9470370,57338,458,12.8,100,5407,3578
2021.12.30,9733591,7741,378561,1951,625955,123790,9470370,57338,458,12.8,100,5034,3578
2021.12.31,9733591,7741,378561,1951,630829,123790,9470370,57338,458,12.8,100,4874,3578
